id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1441638296296198149,1441638296296198149,2021-09-25 05:38:48 UTC,2021-09-25,05:38:48,+0000,391900115,dayukoume,コウメ太夫,,リモ～ト打ち合わせで画面に映ってないとこだけ白塗りしてバレないかハラハラしていたら～、  ちゃっかり土左衛門でした～。  チクショー！！　#まいにちチクショー,ja,[],[],[],40,51,311,['まいにちチクショー'],[],https://twitter.com/dayukoume/status/1441638296296198149,False,,0,,,,,,,,[],,,,
1441360171461054472,1441360171461054472,2021-09-24 11:13:38 UTC,2021-09-24,11:13:38,+0000,391900115,dayukoume,コウメ太夫,,そうめんが流れてきたかと思ったら～、  私を迎えに来た死神でした～。  チクショー！！　#まいにちチクショー,ja,[],[],[],80,330,1434,['まいにちチクショー'],[],https://twitter.com/dayukoume/status/1441360171461054472,False,,0,,,,,,,,[],,,,
1441236452906467338,1441236452906467338,2021-09-24 03:02:01 UTC,2021-09-24,03:02:01,+0000,391900115,dayukoume,コウメ太夫,,ＯＰＱＲＳＴＵ～♪かと思ったら～、  ＢＢ弾ＢＢ弾♪でした～。  チクショー！！　#まいにちチクショー,ja,[],[],[],31,67,406,['まいにちチクショー'],[],https://twitter.com/dayukoume/status/1441236452906467338,False,,0,,,,,,,,[],,,,
1441003719957442563,1441003719957442563,2021-09-23 11:37:14 UTC,2021-09-23,11:37:14,+0000,391900115,dayukoume,コウメ太夫,,うまい棒１本買おうと思ったら～、  カツラ買いすぎてお金足りませんでした～。  チクショー！！　#まいにちチクショー,ja,[],[],[],70,276,1670,['まいにちチクショー'],[],https://twitter.com/dayukoume/status/1441003719957442563,False,,0,,,,,,,,[],,,,
1440922534694686722,1440922534694686722,2021-09-23 06:14:37 UTC,2021-09-23,06:14:37,+0000,391900115,dayukoume,コウメ太夫,,何時もコウメ用のカツラを買うお店から連絡が来て 今後生産されなくなると言われてしまい年に1個位買うので２０個用意してもらう事にしました チクショウ！！！！！！,ja,[],[],[],193,12795,74883,[],[],https://twitter.com/dayukoume/status/1440922534694686722,False,,0,,,,,,,,[],,,,
1440906401992232961,1440906401992232961,2021-09-23 05:10:31 UTC,2021-09-23,05:10:31,+0000,391900115,dayukoume,コウメ太夫,,ヴ～スタ～接種かと思ったら～、  多摩にたまちゃんだったけ？忘れてた~でした～。  チクショー！！　#まいにちチクショー,ja,[],[],[],46,86,485,['まいにちチクショー'],[],https://twitter.com/dayukoume/status/1440906401992232961,False,,0,,,,,,,,[],,,,
1440615531082489861,1440615531082489861,2021-09-22 09:54:42 UTC,2021-09-22,09:54:42,+0000,391900115,dayukoume,コウメ太夫,,黒だと思うタレントをリストアップしたと思ったら～、  白塗りだと思うタレントリストアップしてました～。  チクショー！！　#まいにちチクショー,ja,[],[],[],56,86,618,['まいにちチクショー'],[],https://twitter.com/dayukoume/status/1440615531082489861,False,,0,,,,,,,,[],,,,
1440555933810114563,1440555933810114563,2021-09-22 05:57:53 UTC,2021-09-22,05:57:53,+0000,391900115,dayukoume,コウメ太夫,,#ねえねえ白塗りさん　で質問募集していたら～、  来ませんでした～。  チクショー！！　#まいにちチクショー,ja,[],[],[],60,80,513,"['ねえねえ白塗りさん', 'まいにちチクショー']",[],https://twitter.com/dayukoume/status/1440555933810114563,False,,0,,,,,,,,[],,,,
1440268210268344325,1440268210268344325,2021-09-21 10:54:34 UTC,2021-09-21,10:54:34,+0000,391900115,dayukoume,コウメ太夫,,中秋の名月かと思ったら～、  合い鍵使って入ったら網走刑務所でした～。  チクショー！！　#まいにちチクショー,ja,[],[],[],65,192,857,['まいにちチクショー'],[],https://twitter.com/dayukoume/status/1440268210268344325,False,,0,,,,,,,,[],,,,
1440168592662614021,1440168592662614021,2021-09-21 04:18:44 UTC,2021-09-21,04:18:44,+0000,391900115,dayukoume,コウメ太夫,,タペストリ～かと思ったら～、  転職したけどやっぱいらな～いでした～。  チクショー！！　#まいにちチクショー,ja,[],[],[],51,79,481,['まいにちチクショー'],[],https://twitter.com/dayukoume/status/1440168592662614021,False,,0,,,,,,,,[],,,,
